id,WKT
225,"620788.023130716 5304446.15779671 0.0,620813.212543177 5304442.30404534 0.0,"
226,"620788.023130716 5304446.15779671 0.0,620762.802307079 5304448.65450852 0.0,"
227,"620762.802307079 5304448.65450852 0.0,620752.219159279 5304445.77576351 0.0,620750.598481883 5304443.87391244 0.0,"
228,"620750.598481883 5304443.87391244 0.0,620749.131835823 5304433.89193173 0.0,620752.668703851 5304428.57329702 0.0,"
229,"620752.668703851 5304428.57329702 0.0,620772.051964239 5304237.09086523 0.0,620725.412244117 5304156.03809182 0.0,"
230,"620725.412244117 5304156.03809182 0.0,620683.455886525 5304127.48638731 0.0,"
231,"620683.455886525 5304127.48638731 0.0,620416.15936388 5303934.23248692 0.0,"
232,"620416.15936388 5303934.23248692 0.0,620336.160242144 5303841.56903241 0.0,"
233,"621414.566747067 5304118.71919777 0.0,621411.074550845 5304088.08013013 0.0,"
234,"621414.566747067 5304118.71919777 0.0,621420.802504504 5304164.01497684 0.0,"
235,"621420.802504504 5304164.01497684 0.0,621426.462884531 5304213.19025764 0.0,"
236,"621426.462884531 5304213.19025764 0.0,621428.656788466 5304269.27526913 0.0,"
237,"621429.919684235 5304313.07664324 0.0,621428.656788466 5304269.27526913 0.0,"
238,"621438.19575585 5304365.89835116 0.0,621429.919684235 5304313.07664324 0.0,"
239,"621301.01529988 5304459.68162518 0.0,621438.19575585 5304365.89835116 0.0,"
240,"621283.344579633 5304465.57028157 0.0,621301.01529988 5304459.68162518 0.0,"
241,"621204.823764518 5304473.08321793 0.0,621283.344579633 5304465.57028157 0.0,"
242,"621179.948477492 5304472.29419811 0.0,621204.823764518 5304473.08321793 0.0,"
243,"621067.971761649 5304476.97205524 0.0,621179.948477492 5304472.29419811 0.0,"
244,"621046.723318274 5304479.07272121 0.0,621067.971761649 5304476.97205524 0.0,"
245,"620893.991622828 5304435.15552372 0.0,621046.723318274 5304479.07272121 0.0,"
246,"620862.997382096 5304437.60874347 0.0,620893.991622828 5304435.15552372 0.0,"
247,"620813.212543177 5304442.30404534 0.0,620862.997382096 5304437.60874347 0.0,"
248,"620788.023130716 5304446.15779671 0.0,620813.212543177 5304442.30404534 0.0,"
249,"620752.668703851 5304428.57329702 0.0,620772.051964239 5304237.09086523 0.0,620725.412244117 5304156.03809182 0.0,"
250,"620725.412244117 5304156.03809182 0.0,620683.455886525 5304127.48638731 0.0,"
251,"620683.455886525 5304127.48638731 0.0,620416.15936388 5303934.23248692 0.0,"
252,"620416.15936388 5303934.23248692 0.0,620336.160242144 5303841.56903241 0.0,"
253,"620752.668703851 5304428.57329702 0.0,620763.777025496 5304426.37062585 0.0,620771.368814622 5304434.23474192 0.0,620771.610233871 5304439.49897478 0.0,"
254,"620771.610233871 5304439.49897478 0.0,620788.023130716 5304446.15779671 0.0,"
255,"620756.158058499 5304099.36374962 0.0,620458.700192453 5303090.99620063 0.0,"
256,"620727.751134674 5304152.929264 0.0,620756.158058499 5304099.36374962 0.0,"
257,"620725.412244117 5304156.03809182 0.0,620727.751134674 5304152.929264 0.0,"
258,"620752.668703851 5304428.57329702 0.0,620772.051964239 5304237.09086523 0.0,620725.412244117 5304156.03809182 0.0,"
259,"620752.668703851 5304428.57329702 0.0,620763.777025496 5304426.37062585 0.0,620771.368814622 5304434.23474192 0.0,620771.610233871 5304439.49897478 0.0,"
260,"620771.610233871 5304439.49897478 0.0,620788.023130716 5304446.15779671 0.0,"
261,"620788.023130716 5304446.15779671 0.0,620813.212543177 5304442.30404534 0.0,"
262,"620813.212543177 5304442.30404534 0.0,620862.997382096 5304437.60874347 0.0,"
263,"620862.997382096 5304437.60874347 0.0,620893.991622828 5304435.15552372 0.0,"
264,"620893.991622828 5304435.15552372 0.0,621046.723318274 5304479.07272121 0.0,"
265,"621046.723318274 5304479.07272121 0.0,621067.971761649 5304476.97205524 0.0,"
266,"621067.971761649 5304476.97205524 0.0,621179.948477492 5304472.29419811 0.0,"
267,"621179.948477492 5304472.29419811 0.0,621204.823764518 5304473.08321793 0.0,"
268,"621204.823764518 5304473.08321793 0.0,621283.344579633 5304465.57028157 0.0,"
269,"621283.344579633 5304465.57028157 0.0,621301.01529988 5304459.68162518 0.0,"
270,"621285.213183346 5304449.96535961 0.0,621301.01529988 5304459.68162518 0.0,"
271,"621277.51610473 5304447.50207424 0.0,621285.213183346 5304449.96535961 0.0,"
272,"621254.977856131 5304440.84661805 0.0,621277.51610473 5304447.50207424 0.0,"
273,"621228.382678888 5304441.09979869 0.0,621254.977856131 5304440.84661805 0.0,"
274,"621224.336850288 5304441.07044198 0.0,621228.382678888 5304441.09979869 0.0,"
275,"621223.184338019 5304441.10183712 0.0,621224.336850288 5304441.07044198 0.0,"
276,"621200.650762689 5304445.26529745 0.0,621223.184338019 5304441.10183712 0.0,"
277,"621190.905833636 5304449.85294061 0.0,621200.650762689 5304445.26529745 0.0,"
